"countriesAndTerritories","cases","deaths","Code","acumulat","popData2019","continentExp"
"Togo",3251,66,"TGO",536.97194102,8082359,"Africa"
"Trinidad_and_Tobago",6879,122,"TTO",6779.64886683,1394969,"America"
"Tunisia",111361,3894,"TUN",12461.62264147,11694721,"Africa"
"Turkey",995471,16199,"TUR",13924.98101494,82003882,"Europe"
"Turks_and_Caicos_islands",769,6,"TCA",27690.21312238,38194,"America"
"Uganda",27532,221,"UGA",744.59696228,44269587,"Africa"
"Ukraine",900666,15247,"UKR",25976.30980452,43993643,"Europe"
"United_Arab_Emirates",184949,617,"ARE",25364.39696292,9770526,"Asia"
"United_Kingdom",1849403,64170,"GBR",36398.2688403,66647112,"Europe"
"United_Republic_of_Tanzania",509,21,"TZA",12.10575671,58005461,"Africa"
"United_States_of_America",16256754,299177,"USA",63315.35306146,329064917,"America"
"United_States_Virgin_Islands",1807,23,"VIR",22047.44738438,104579,"America"
"Uruguay",9708,92,"URY",2996.30444999,3461731,"America"
"Uzbekistan",75094,612,"UZB",3142.60492519,32981715,"Asia"
"Vanuatu",1,0,"VUT",0.3334645,299882,"Oceania"
"Venezuela",107177,949,"VEN",5141.07094698,28515829,"America"
"Vietnam",1397,35,"VNM",19.90522528,96462108,"Asia"
"Wallis_and_Futuna",3,0,"",0,NA,"Oceania"
"Western_Sahara",766,1,"ESH",1827.77127272,582458,"Africa"
"Yemen",2083,606,"YEM",99.75679929,29161922,"Asia"
"Zambia",18274,367,"ZMB",1405.07542815,17861034,"Africa"
"Zimbabwe",11246,307,"ZWE",1025.03346937,14645473,"Africa"
